Model,Trial,Seed,Global_Best_Fitness,PS,RS,NPV,F1S,F2S,SS,CKS,GMS,AUC,LS,AS
AVOA,14,37,0.7464496617360394,0.5614617940199336,0.5501355013550135,0.5614617940199336,0.5535714285714286,0.551061678463094,0.5501355013550135,0.4698421942586839,1.2454222107329915,0.37262872628726285,1.304144270678587,0.76
AVOA,15,39,0.7584431889516635,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
AVOA,16,40,0.7400592331836611,0.5871212121212122,0.5623306233062331,0.5871212121212122,0.5686274509803921,0.5637591575091575,0.5623306233062331,0.492456602851477,1.2557091478525535,0.3814363143631436,1.438675371602201,0.78
AVOA,17,41,0.7381333766319902,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
AVOA,18,42,0.7658368474431515,0.5871212121212122,0.5623306233062331,0.5871212121212122,0.5686274509803921,0.5637591575091575,0.5623306233062331,0.492456602851477,1.2557091478525535,0.3814363143631436,1.438675371602201,0.78
AVOA,19,45,0.7518059855521155,0.6375,0.6490514905149052,0.6375,0.6426250812215725,0.6463128729752771,0.6490514905149052,0.5661246743221076,1.0537275060412907,0.5142276422764227,1.644647696476965,0.78
AGTO,0,7,0.7641183439480317,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
AGTO,1,8,0.7390683954174384,0.5416666666666667,0.537940379403794,0.5416666666666667,0.5393338058114813,0.5383936451897616,0.537940379403794,0.44840718608521835,1.2350891541657638,0.3638211382113821,1.2025745257452574,0.74
AGTO,2,11,0.7365551992670637,0.5416666666666667,0.537940379403794,0.5416666666666667,0.5393338058114813,0.5383936451897616,0.537940379403794,0.44840718608521835,1.2350891541657638,0.3638211382113821,1.2025745257452574,0.74
AGTO,3,15,0.7499095729737323,0.7289972899728998,0.7289972899728998,0.7289972899728998,0.7289972899728998,0.7289972899728997,0.7289972899728998,0.673120962910132,1.029563725506835,0.6151761517615176,2.093477574342139,0.84
AGTO,4,20,0.7568935243714006,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
AGTO,5,21,0.7593138268541494,0.575,0.5813008130081301,0.575,0.5776478232618583,0.5797101449275361,0.5813008130081301,0.4872382514715817,1.1056407262717065,0.42886178861788615,1.3516260162601625,0.74
AGTO,6,22,0.7547072957623417,0.5614617940199336,0.5501355013550135,0.5614617940199336,0.5535714285714286,0.551061678463094,0.5501355013550135,0.4698421942586839,1.2454222107329915,0.37262872628726285,1.304144270678587,0.76
AGTO,7,23,0.7452527958993476,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
AGTO,8,24,0.7680241682360327,0.7289972899728998,0.7289972899728998,0.7289972899728998,0.7289972899728998,0.7289972899728997,0.7289972899728998,0.673120962910132,1.029563725506835,0.6151761517615176,2.093477574342139,0.84
AGTO,9,27,0.7502668914173338,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
AGTO,10,28,0.7694056285387554,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
AGTO,11,30,0.7375392341494036,0.575,0.5813008130081301,0.575,0.5776478232618583,0.5797101449275361,0.5813008130081301,0.4872382514715817,1.1056407262717065,0.42886178861788615,1.3516260162601625,0.74
AGTO,12,32,0.7388343814028511,0.6222222222222222,0.5745257452574526,0.6222222222222222,0.584717607973422,0.5764966740576496,0.5745257452574526,0.5164876167970026,1.265948042890033,0.3902439024390244,1.6260162601626016,0.8
